repl,bench,cycles,instrs,ipc,l1i_misses,l1i_mpki,l1d_misses,l1d_mpki,l2_misses,l2_mpki,l3_misses,l3_mpki
LRU,lbm,173908814,100002573,0.5750287791623948,120,0.001199969124794419,5094726,50.9459491607281,3096386,30.963063320380765,3096298,30.962183343022584
LRU,libquantum,195649922,100005358,0.511144379602666,39,0.00038997910491955843,2504644,25.045098083644678,2504683,25.045488062749598,2504683,25.045488062749598
LRU,mcf,800265952,100000772,0.12495942348925523,47,0.00046999637162801106,12716227,127.1612883148542,10217059,102.16980124913435,8097629,80.97566486786722
LRU,namd,55402357,100015631,1.8052594946456881,2296,0.022956411683289785,52073,0.5206486174146119,38465,0.3845898847551139,37161,0.3715519227189598
LRU,sjeng,86509780,100001677,1.1559580546846842,73012,0.7301077560929303,123715,1.2371292533424214,40381,0.40380322821986275,36207,0.36206392818792427
LRU,soplex,269169425,100005548,0.37153383226939685,2282,0.022818734016636755,4187737,41.87504677240507,3365772,33.65585277328813,2161283,21.611630986712857
LRU,streamcluster,7015097937,5000014880,0.7127505453100277,4400,0.0008799973811277937,60206442,12.041252565232366,59987612,11.997486695479594,31673117,6.3346045482168645
LRU,swaptions,3213927328,5000004956,1.5557305581988567,363670,0.07273392790613066,19543779,3.9087519256450913,18359,0.0036717963605154475,11219,0.0022437977759476443
LRU,x264,3090867635,5000025272,1.6176769316748822,38219895,7.643940364467822,42563880,8.51273297324246,17612016,3.522385396455252,4008000,0.8015959484134384
SRRIP,blackscholes,3181527403,4062699845,1.2769652215376501,949,0.00023358850917031012,4085784,1.0056819740272984,416263,0.10245969820101243,29444,0.0072473973277245645
SRRIP,bodytrack,3036034919,5000051661,1.6469018948724417,6127130,1.225413338784301,49570693,9.914036166195524,3373874,0.6747678281638458,183963,0.03679221985542601
SRRIP,bzip2,117591523,100000559,0.8504061895686137,1069,0.01068994024323404,3028299,30.28282071903218,1960724,19.607130396141084,294262,2.9426035508461506
SRRIP,cactusADM,94613654,100000696,1.0569372577027836,1955,0.019549863932947026,757631,7.576257269249406,501933,5.019295065706342,481596,4.815926481151691
SRRIP,calculix,50457348,100014278,1.982154868702176,457,0.004569347588551306,41176,0.4117012173001939,6259,0.06258106467558562,5890,0.05889159145857155
SRRIP,canneal,5993804641,1721985633,0.2872942540070351,160172,0.09301587477298075,38037556,22.089357350637083,36608040,21.259201760134548,22920401,13.310448450181699
SRRIP,dedup,3958505087,5000030406,1.2631107693711043,830199,0.16603879028490853,18778293,3.755635761227809,6807975,1.361586719918839,5953110,1.1906147596335237
SRRIP,fluidanimate,3757720543,5000010997,1.330596817880504,14639,0.002927793560610843,7134389,1.426874661731869,5982212,1.196439768550373,4474596,0.8949172317190405
SRRIP,freqmine,4468556424,5000055231,1.118941948264409,17469,0.0034937614072127437,26788919,5.35772461750233,9410962,1.8821716091559708,5397276,1.0794432762536819
SRRIP,gcc,139096936,100001650,0.7189349591424501,703678,7.036663895045732,3062118,30.62067475886648,1753630,17.536010655824178,322098,3.2209268547068977
SRRIP,hmmer,69010922,100001107,1.449062033977752,2965,0.029649671778133418,530630,5.306241259909252,322094,3.2209043445889054,140949,1.4094743971184238
SRRIP,lbm,174287032,100001629,0.5737755004055609,3094,0.030939495995610234,5095062,50.94979002792044,3099692,30.996415068398537,3099563,30.99512508941229
SRRIP,libquantum,195660031,100000502,0.511093152182931,361,0.003609981877890973,2504614,25.04601426900837,2504975,25.04962425088626,2504975,25.04962425088626
SRRIP,mcf,801907418,100000358,0.12470312127727443,6401,0.06400977084502037,12716744,127.16698474219463,10230850,102.30813373688122,8143086,81.43056847856485
SRRIP,namd,55426423,100017755,1.8045139770250012,2445,0.02444565967312504,52082,0.5207275448244164,38652,0.38645138555649444,37349,0.37342369862230956
SRRIP,sjeng,86653771,100006114,1.1540884239186775,73362,0.733575149215377,123907,1.238994247891684,41357,0.41354471587607133,37328,0.37325717905607253
SRRIP,soplex,269729517,100001797,0.3707484375912778,4660,0.04659916261304784,4187785,41.877097468558496,3318131,33.18071374257404,2165496,21.654570867361514
SRRIP,streamcluster,6269904407,5000019647,0.7974634575636841,317945,0.06358875013436521,62312926,12.462536229710139,62389453,12.477841569569335,24815894,4.963159297761855
SRRIP,swaptions,3213921822,5000010979,1.555735097466848,363663,0.07273244029410761,19543773,3.9087460171754955,18348,0.003669591942310013,11218,0.0022435950735139373
SRRIP,x264,3112428667,5000088362,1.6064909101417166,38220608,7.643986512412758,42569667,8.513782941022352,18404890,3.6809129494339925,4075777,0.8151409945022888
